casc_orgid,casc_name,casc_postcode,ch_orgid,ch_number,ch_name,ch_postcode,ch_type
GB-CASC-9348fda4,AA Sports Centre CIC,DL13 3DP,GB-COH-09134127,09134127,AA SPORTS CENTRE CIC,DL4 2RB,Community Interest Company
GB-CASC-ff1aaf5d,Aberdare Rugby Union Football Club,CF44 8RN,GB-COH-08116911,08116911,ABERDARE RUGBY UNION FOOTBALL CLUB,CF44 7BP,"PRI/LBG/NSC (Private, Limited by guarantee, no share capital, use of 'Limited' exemption)"
GB-CASC-10f12341,Abingdon Gymnastics Club Ltd,OX10 7LN,GB-COH-08302004,08302004,ABINGDON GYMNASTICS CLUB LIMITED,OX29 4BD,"PRI/LTD BY GUAR/NSC (Private, limited by guarantee, no share capital)"
GB-CASC-958cbc21,Abingdon Rugby Union Football Club Ltd,OX14 4EG,GB-COH-IP030468,IP030468,ABINGDON RUGBY UNION FOOTBALL CLUB LIMITED,,Industrial and Provident Society
GB-CASC-deb6765d,AFC Monton Ltd,M27 9RW,GB-COH-RS007155,RS007155,AFC MONTON LIMITED,,Registered Society
GB-CASC-7c22b36c,AFC Pogmoor Ltd,S75 2LP,GB-COH-11803925,11803925,AFC POGMOOR LTD,S75 3TS,"PRI/LTD BY GUAR/NSC (Private, limited by guarantee, no share capital)"
GB-CASC-bde5e58b,Aireborough Gymnastics Club Ltd,LS18 4NN,GB-COH-08577612,08577612,AIREBOROUGH GYMNASTICS CLUB LTD,LS16 6HU,"PRI/LTD BY GUAR/NSC (Private, limited by guarantee, no share capital)"
GB-CASC-efa8e189,Alcester Town Football Club (1927) Ltd,B49 5AS,GB-COH-07575157,07575157,ALCESTER TOWN FOOTBALL CLUB (1927) LIMITED,B49 5AS,"PRI/LTD BY GUAR/NSC (Private, limited by guarantee, no share capital)"
GB-CASC-fe58e15d,Alderley Edge Golf Club Ltd,SK9 7RU,GB-COH-00901906,00901906,ALDERLEY EDGE GOLF CLUB LIMITED,SK9 7RU,"PRI/LTD BY GUAR/NSC (Private, limited by guarantee, no share capital)"
GB-CASC-9965e09a,Aldridge Rugby Football Club Limited,B72 1YY,GB-COH-07227924,07227924,ALDRIDGE RUGBY FOOTBALL CLUB LIMITED,WS9 0SH,"PRI/LTD BY GUAR/NSC (Private, limited by guarantee, no share capital)"
GB-CASC-5a3fd914,Allscott Heath Sports and Social Club,TF6 5EQ,GB-COH-10729801,10729801,ALLSCOTT HEATH SPORTS AND SOCIAL CLUB,TF1 6GQ,"PRI/LBG/NSC (Private, Limited by guarantee, no share capital, use of 'Limited' exemption)"
GB-CASC-25d32afb,Alness Angling Club,IV1 1YN,GB-COH-SC310060,SC310060,ALNESS ANGLING CLUB,IV2 5GH,"PRI/LBG/NSC (Private, Limited by guarantee, no share capital, use of 'Limited' exemption)"
