new_id,old_id
GB-CASC-f8f1edad,GB-CASC-9abbf705
GB-CASC-8d8730a9,GB-CASC-8d8730a9
GB-CASC-5526c98e,GB-CASC-3fece4b0
GB-CASC-614261b0,GB-CASC-614261b0
GB-CASC-3995692a,GB-CASC-ca8fc482
GB-CASC-a7e47cd9,GB-CASC-7a9b427d
GB-CASC-4ca2de24,GB-CASC-081bcc9e
GB-CASC-4bc277ef,GB-CASC-9348fda4
GB-CASC-a42cf9c5,GB-CASC-a42cf9c5
GB-CASC-7a5f7ab7,GB-CASC-a64b6539
GB-CASC-a1b4efab,GB-CASC-951ccea7
GB-CASC-ef56218a,GB-CASC-454c75bc
GB-CASC-abe11ce8,GB-CASC-5d5e9176
GB-CASC-1a81a2f8,GB-CASC-280b7a11
GB-CASC-f77c0e28,GB-CASC-563ca945
GB-CASC-95a2d3a4,GB-CASC-e4563167
GB-CASC-7658f534,GB-CASC-8f59e11d
GB-CASC-9261e295,GB-CASC-9261e295
GB-CASC-6396a3b6,GB-CASC-da27033c
GB-CASC-829ee73b,GB-CASC-829ee73b
GB-CASC-fda12423,GB-CASC-2e377ca4
GB-CASC-df679063,GB-CASC-df679063
GB-CASC-944d747e,GB-CASC-944d747e
GB-CASC-c1a68039,GB-CASC-ff1aaf5d
GB-CASC-aa9f7a20,GB-CASC-fe9c1f73
GB-CASC-a44aad2f,GB-CASC-416b30d9
GB-CASC-c698f0ee,GB-CASC-a0fb8e04
GB-CASC-ac266c16,GB-CASC-ac266c16
GB-CASC-7f982a4a,GB-CASC-1e469110
GB-CASC-62ca6c92,GB-CASC-863e21ef
GB-CASC-648bcc42,GB-CASC-648bcc42
GB-CASC-2ba1f092,GB-CASC-2ba1f092
GB-CASC-e80d64db,GB-CASC-450ae363
GB-CASC-cd8f6664,GB-CASC-c7c2e3c6
GB-CASC-309b2ed0,GB-CASC-3d25231d
GB-CASC-1ff11c1d,GB-CASC-ef6635ac
GB-CASC-9c6450ad,GB-CASC-fa5757b2
GB-CASC-8b2bb537,GB-CASC-9e38e81c
GB-CASC-a74b9f27,GB-CASC-2aa967de
GB-CASC-9e38e81c,GB-CASC-9e38e81c
GB-CASC-352b1c90,GB-CASC-c8f7f9f0
GB-CASC-962b4ee8,GB-CASC-1b2f2e69
GB-CASC-ae5f0261,GB-CASC-93743c59
GB-CASC-0d844630,GB-CASC-0d844630
GB-CASC-f1ea1200,GB-CASC-f1ea1200
GB-CASC-d82f690b,GB-CASC-f1ea1200
GB-CASC-10f12341,GB-CASC-10f12341
GB-CASC-98a639f2,GB-CASC-98a639f2
GB-CASC-d15f33b1,GB-CASC-189a50af
GB-CASC-b7a669da,GB-CASC-958cbc21
GB-CASC-87ae1944,GB-CASC-12ca1905
GB-CASC-65d59fe4,GB-CASC-65d59fe4
GB-CASC-b123d966,GB-CASC-093774d1
GB-CASC-ff2caf14,GB-CASC-7a5194ca
GB-CASC-d22ade9d,GB-CASC-83ed0362
GB-CASC-17a2d3cb,GB-CASC-14c09177
GB-CASC-30ce4e7d,GB-CASC-91a0e07e
GB-CASC-b8784921,GB-CASC-5fcaee59
GB-CASC-ee759503,GB-CASC-6b5e3365
GB-CASC-25dd2f89,GB-CASC-234029b2
GB-CASC-5fbbcc3d,GB-CASC-5fbbcc3d
GB-CASC-2ef9a941,GB-CASC-c216e388
GB-CASC-ba155b7d,GB-CASC-05d61cce
GB-CASC-4832ddf6,GB-CASC-9018e03f
GB-CASC-7e38960b,GB-CASC-2eadb47f
GB-CASC-bc2a5f63,GB-CASC-7c460cfa
GB-CASC-0eb4588e,GB-CASC-543d2a2d
GB-CASC-f1e885f4,GB-CASC-82f5c748
GB-CASC-e2954905,GB-CASC-40b10e17
GB-CASC-2cee2bcb,GB-CASC-a94ae9bf
GB-CASC-77aca079,GB-CASC-77aca079
GB-CASC-069c0293,GB-CASC-069c0293
GB-CASC-3d93d6ed,GB-CASC-dbb2fcc2
GB-CASC-7ae4d2a9,GB-CASC-13e01237
GB-CASC-d4e35bf9,GB-CASC-926765b9
GB-CASC-279ad418,GB-CASC-deb6765d
GB-CASC-d935e0f9,GB-CASC-bfc1dbd3
GB-CASC-b42a7ed0,GB-CASC-dfcc3fc3
GB-CASC-b323bc6d,GB-CASC-7c22b36c
GB-CASC-8822f669,GB-CASC-8822f669
GB-CASC-6c2f97df,GB-CASC-6c2f97df
GB-CASC-7e51915b,GB-CASC-ddbfbf01
GB-CASC-f62b3efa,GB-CASC-17872ffc
